Participant,Practice,Block,Trial,Property,Ratio,Answer,size1Output,headPosition,headRotation,eyeStimuliAngle,TaskCompletionTime
13,false,1,0,Area,0.23,7,0.98,-0.001382232;1.1285;0.1515126,0.3786168;0.02468121;-0.007946452,0,24294.59
13,false,1,1,Area,0.48,25,1.02,0.0009816885;1.113758;0.1694474,0.4313373;0.03680818;0.004684035,0,12231.78
13,false,1,2,Area,0.28,12,1.04,0.004926801;1.116571;0.1897949,0.39932;0.0456424;-0.01415568,0,11727.56
13,false,1,3,Area,0.18,8,1.02,-0.009798884;1.111465;0.1807949,0.433461;0.007816993;0.01799564,0,12498.81
13,false,1,4,Area,0.88,95,0.98,-0.009466708;1.131939;0.1570532,0.4089701;0.04174811;0.002950104,0,18821.44
13,false,1,5,Area,0.43,23,1.04,-0.01512378;1.133173;0.1568692,0.393255;0.02197478;0.01611321,0,9572.875
13,false,1,6,Area,0.73,85,1.01,0.01259404;1.119036;0.2087827,0.4789423;0.04147386;0.00138258,0,17279.5
13,false,1,7,Area,0.08,2,0.98,-0.00862813;1.106142;0.1782693,0.4511139;0.02105226;0.01650955,0,21747.41
13,false,1,8,Area,0.83,85,0.98,-0.02084255;1.092079;0.1794527,0.3988093;0.07331761;-0.0388249,0,18866
13,false,1,9,Area,0.58,29,0.9899999,-0.008822024;1.099259;0.1837046,0.4600662;0.04853796;0.00018208,0,17078.5
13,false,1,10,Area,0.93,98,1.01,-0.01275098;1.082935;0.1919696,0.4390855;0.04369158;-0.02397704,0,18787.81
13,false,1,11,Area,0.13,5,1.03,-0.01854807;1.113614;0.1610568,0.4140841;0.02557182;-0.01431823,0,11662
13,false,1,12,Area,0.53,27,0.95,-0.01801419;1.104079;0.1641899,0.4359893;0.0193555;-0.0103602,0,9236.563
13,false,1,13,Area,0.78,78,0.96,-0.02051169;1.104138;0.1602273,0.438063;0.03033646;-0.01301303,0,20697.88
13,false,1,14,Area,0.68,70,1,-0.02141041;1.107685;0.1796355,0.4485324;-0.004952132;-0.002957641,0,9446.625
13,false,1,15,Area,0.33,15,0.95,-0.01292115;1.099125;0.1890123,0.4616615;0.02782243;-0.003918113,0,13943.19
13,false,1,16,Area,0.38,17,0.97,-0.009073317;1.095787;0.1835128,0.4651955;0.04229056;-0.002631844,0,10935
13,false,1,17,Area,0.63,35,0.9899999,-0.03675342;1.092569;0.1831549,0.4631753;-0.05065021;0.04735214,0,7372.313
13,false,2,0,BarChart,0.58,55,0.95,-0.0002290606;1.084545;0.1876808,0.4796545;0.04310291;-0.01362866,0,11683.75
13,false,2,1,BarChart,0.73,70,1.04,-0.001718402;1.08709;0.2000768,0.4759587;0.02623221;0.006088017,0,11940.44
13,false,2,2,BarChart,0.63,60,1.01,-0.01020867;1.099621;0.1997473,0.4339409;0.0149059;-0.005876292,0,10533
