participant,Practice,Block,taskNr,size1,size2,Position,orientation,method,estimateRatio-Percentage,time,ParticipantAngle,condition,totaltime,code
1,false,2,13,0.88,1.00,1,horizontal,ratioPercentage,96,10.85355,164.4792,position1-horizontal,10856.97,0.88
1,false,2,14,0.48,1.00,0,horizontal,ratioPercentage,47,4.29184,81.21592,position0-horizontal,5093.875,0.48
1,false,2,15,0.68,1.00,1,horizontal,ratioPercentage,85,12.99561,164.7765,position1-horizontal,13470.44,0.68
1,false,2,16,0.28,1.00,1,horizontal,ratioPercentage,11,11.33282,164.6027,position1-horizontal,11337.22,0.28
1,false,2,17,0.88,1.00,2,horizontal,ratioPercentage,100,14.45334,171.2891,position2-horizontal,14453.81,0.88
1,false,2,18,0.58,1.00,0,horizontal,ratioPercentage,52,7.431152,81.36372,position0-horizontal,8533.406,0.58
1,false,2,19,0.68,1.00,2,horizontal,ratioPercentage,88,13.08423,171.3481,position2-horizontal,14297.56,0.68
1,false,2,20,0.48,1.00,2,horizontal,ratioPercentage,46,7.166992,171.9487,position2-horizontal,7171.625,0.48
1,false,2,21,0.78,1.00,1,horizontal,ratioPercentage,91,16.97986,165.0037,position1-horizontal,16990.63,0.78
1,false,2,22,0.28,1.00,2,horizontal,ratioPercentage,12,10.14246,171.4872,position2-horizontal,10151.5,0.28
1,false,2,23,0.38,1.00,1,horizontal,ratioPercentage,26,10.55347,165.0089,position1-horizontal,10555.44,0.38
2,false,1,0,0.28,1.00,0,horizontal,ratioPercentage,30,6.299526,86.47353,position0-horizontal,6299.852,0.28
2,false,1,1,0.58,1.00,0,horizontal,ratioPercentage,60,4.6798,86.78502,position0-horizontal,4680.271,0.58
2,false,1,2,0.88,1.00,2,horizontal,ratioPercentage,100,11.30901,171.6729,position2-horizontal,11906.99,0.88
2,false,1,3,0.18,1.00,0,horizontal,ratioPercentage,15,8.870342,88.82487,position0-horizontal,9539.109,0.18
2,false,1,4,0.88,1.00,1,horizontal,ratioPercentage,90,11.94678,165.0414,position1-horizontal,12476.45,0.88
2,false,1,5,0.58,1.00,2,horizontal,ratioPercentage,50,8.335354,171.5256,position2-horizontal,8344.125,0.58
2,false,1,6,0.18,1.00,1,horizontal,ratioPercentage,10,9.64135,164.9288,position1-horizontal,9650.445,0.18
2,false,1,7,0.78,1.00,2,horizontal,ratioPercentage,90,11.7143,171.5121,position2-horizontal,11717.39,0.78
2,false,1,8,0.48,1.00,1,horizontal,ratioPercentage,40,5.185928,164.8931,position1-horizontal,5193.844,0.48
2,false,1,9,0.48,1.00,2,horizontal,ratioPercentage,40,4.922974,171.4605,position2-horizontal,4925.938,0.48
2,false,1,10,0.68,1.00,0,horizontal,ratioPercentage,70,8.607338,89.50716,position0-horizontal,9717.695,0.68
2,false,1,11,0.28,1.00,1,horizontal,ratioPercentage,25,7.650009,164.9321,position1-horizontal,8109.344,0.28
2,false,1,12,0.68,1.00,1,horizontal,ratioPercentage,75,8.00341,164.812,position1-horizontal,8008.961,0.68
2,false,1,13,0.38,1.00,0,horizontal,ratioPercentage,40,9.87352,88.7906,position0-horizontal,11258.99,0.38
2,false,1,14,0.88,1.00,0,horizontal,ratioPercentage,90,7.903595,83.92199,position0-horizontal,7907.859,0.88
2,false,1,15,0.68,1.00,2,horizontal,ratioPercentage,70,7.355911,171.2595,position2-horizontal,7796.766,0.68
2,false,1,16,0.78,1.00,1,horizontal,ratioPercentage,80,8.344131,164.6072,position1-horizontal,8354.891,0.78
2,false,1,17,0.28,1.00,2,horizontal,ratioPercentage,20,6.523163,171.3871,position2-horizontal,6523.469,0.28
2,false,1,18,0.48,1.00,0,horizontal,ratioPercentage,50,6.058731,88.91769,position0-horizontal,6813.344,0.48
2,false,1,19,0.78,1.00,0,horizontal,ratioPercentage,80,6.39241,85.28364,position0-horizontal,6400.344,0.78
2,false,1,20,0.18,1.00,2,horizontal,ratioPercentage,10,8.786362,171.2373,position2-horizontal,9382.828,0.18
2,false,1,21,0.38,1.00,2,horizontal,ratioPercentage,25,7.458679,171.2771,position2-horizontal,7461.219,0.38
2,false,1,22,0.38,1.00,1,horizontal,ratioPercentage,29,6.470444,164.6096,position1-horizontal,6478.438,0.38
2,false,1,23,0.58,1.00,1,horizontal,ratioPercentage,50,4.706558,164.615,position1-horizontal,4713.891,0.58
2,false,2,0,0.28,1.00,1,vertical,ratioPercentage,25,7.442856,165.4568,position1-vertical,7450.375,0.28
2,false,2,1,0.28,1.00,0,vertical,ratioPercentage,25,7.565155,98.47708,position0-vertical,8388.984,0.28
2,false,2,2,0.88,1.00,1,vertical,ratioPercentage,80,9.796722,165.4527,position1-vertical,10309.33,0.88
2,false,2,3,0.28,1.00,2,vertical,ratioPercentage,25,6.96756,171.9815,position2-vertical,6970.844,0.28
2,false,2,4,0.58,1.00,2,vertical,ratioPercentage,60,5.942856,171.8629,position2-vertical,5953.063,0.58
2,false,2,5,0.88,1.00,2,vertical,ratioPercentage,85,6.309067,171.8537,position2-vertical,6310.672,0.88
2,false,2,6,0.18,1.00,0,vertical,ratioPercentage,20,8.993225,101.4638,position0-vertical,9684.156,0.18
2,false,2,7,0.18,1.00,2,vertical,ratioPercentage,15,8.00592,172.1456,position2-vertical,8768.25,0.18
2,false,2,8,0.38,1.00,2,vertical,ratioPercentage,30,8.774323,171.9484,position2-vertical,8779.5,0.38
2,false,2,9,0.78,1.00,1,vertical,ratioPercentage,75,6.039276,166.1503,position1-vertical,6042.75,0.78
2,false,2,10,0.68,1.00,2,vertical,ratioPercentage,60,5.010101,171.9125,position2-vertical,5015.25,0.68
2,false,2,11,0.78,1.00,0,vertical,ratioPercentage,80,9.922119,104.2996,position0-vertical,10712.03,0.78
2,false,2,12,0.48,1.00,0,vertical,ratioPercentage,50,4.132416,99.69659,position0-vertical,4132.531,0.48
2,false,2,13,0.18,1.00,1,vertical,ratioPercentage,20,8.657715,165.9113,position1-vertical,9025.281,0.18
2,false,2,14,0.68,1.00,1,vertical,ratioPercentage,70,7.084595,165.8884,position1-vertical,7093.563,0.68
2,false,2,15,0.48,1.00,1,vertical,ratioPercentage,50,4.831757,165.8694,position1-vertical,4836.031,0.48
2,false,2,16,0.38,1.00,0,vertical,ratioPercentage,40,4.380066,101.6226,position0-vertical,5003.875,0.38
2,false,2,17,0.48,1.00,2,vertical,ratioPercentage,50,3.489807,171.8575,position2-vertical,3920.844,0.48
2,false,2,18,0.38,1.00,1,vertical,ratioPercentage,40,4.669922,165.9094,position1-vertical,4680.125,0.38
2,false,2,19,0.58,1.00,0,vertical,ratioPercentage,60,6.106079,100.9817,position0-vertical,6936.156,0.58
2,false,2,20,0.78,1.00,2,vertical,ratioPercentage,80,6.24115,171.6282,position2-vertical,6690.625,0.78
2,false,2,21,0.88,1.00,0,vertical,ratioPercentage,85,10.13052,100.1383,position0-vertical,10644.94,0.88
2,false,2,22,0.58,1.00,1,vertical,ratioPercentage,50,2.132477,165.8325,position1-vertical,2479.719,0.58
2,false,2,23,0.68,1.00,0,vertical,ratioPercentage,65,9.519196,104.3165,position0-vertical,10164.53,0.68
3,false,1,0,0.18,1.00,2,vertical,ratioPercentage,15,17.67498,171.1505,position2-vertical,17681.5,0.18
3,false,1,1,0.58,1.00,1,vertical,ratioPercentage,55,11.90435,164.8499,position1-vertical,11907.14,0.58
3,false,1,2,0.68,1.00,2,vertical,ratioPercentage,75,9.956818,171.1618,position2-vertical,9963.582,0.68
3,false,1,3,0.38,1.00,0,vertical,ratioPercentage,41,11.81171,87.54503,position0-vertical,12599.33,0.38
3,false,1,4,0.88,1.00,1,vertical,ratioPercentage,90,9.394424,164.7186,position1-vertical,9404.938,0.88
3,false,1,5,0.88,1.00,0,vertical,ratioPercentage,92,9.660446,89.30919,position0-vertical,10377.14,0.88
3,false,1,6,0.48,1.00,2,vertical,ratioPercentage,47,8.439499,171.1266,position2-vertical,8790.156,0.48
3,false,1,7,0.38,1.00,2,vertical,ratioPercentage,42,6.172592,171.1731,position2-vertical,6177.539,0.38
3,false,1,8,0.68,1.00,0,vertical,ratioPercentage,72,12.38466,89.42627,position0-vertical,12989.84,0.68
3,false,1,9,0.68,1.00,1,vertical,ratioPercentage,71,13.40214,164.4244,position1-vertical,13884.16,0.68
3,false,1,10,0.78,1.00,1,vertical,ratioPercentage,77,18.01918,164.5104,position1-vertical,18028.14,0.78
3,false,1,11,0.88,1.00,2,vertical,ratioPercentage,82,10.01604,170.9999,position2-vertical,10019.08,0.88
3,false,1,12,0.58,1.00,2,vertical,ratioPercentage,55,6.13797,171.1403,position2-vertical,6144.172,0.58
3,false,1,13,0.58,1.00,0,vertical,ratioPercentage,54,9.993866,86.49462,position0-vertical,10689.22,0.58
3,false,1,14,0.78,1.00,0,vertical,ratioPercentage,77,10.77266,89.17051,position0-vertical,10778.8,0.78
3,false,1,15,0.18,1.00,1,vertical,ratioPercentage,20,16.74072,164.4294,position1-vertical,17245.84,0.18
3,false,1,16,0.48,1.00,0,vertical,ratioPercentage,47,6.712997,94.08135,position0-vertical,7427.828,0.48
3,false,1,17,0.28,1.00,1,vertical,ratioPercentage,25,11.42033,164.1774,position1-vertical,11896.22,0.28
3,false,1,18,0.78,1.00,2,vertical,ratioPercentage,76,11.7598,170.8802,position2-vertical,11761.69,0.78
3,false,1,19,0.48,1.00,1,vertical,ratioPercentage,49,11.431,164.3164,position1-vertical,11437.88,0.48
3,false,1,20,0.18,1.00,0,vertical,ratioPercentage,19,12.23152,94.44669,position0-vertical,12844.97,0.18
3,false,1,21,0.38,1.00,1,vertical,ratioPercentage,32,18.40817,164.5366,position1-vertical,18776.66,0.38
3,false,1,22,0.28,1.00,0,vertical,ratioPercentage,25,10.71234,90.28603,position0-vertical,11370.84,0.28
3,false,1,23,0.28,1.00,2,vertical,ratioPercentage,25,9.575256,170.9169,position2-vertical,9896.219,0.28
3,false,2,0,0.48,1.00,2,horizontal,ratioPercentage,33,12.95654,170.7392,position2-horizontal,12957.25,0.48
